203: 3.650674, 6.748405 avg, 0.000002 rate, 4.091402 seconds, 12992 images
204: 5.254918, 6.599057 avg, 0.000002 rate, 4.085234 seconds, 13056 images
205: 4.173827, 6.356534 avg, 0.000002 rate, 4.049977 seconds, 13120 images
206: 5.917276, 6.312608 avg, 0.000002 rate, 4.058650 seconds, 13184 images
207: 3.448203, 6.026168 avg, 0.000002 rate, 3.990720 seconds, 13248 images
208: 2.489418, 5.672493 avg, 0.000002 rate, 4.081566 seconds, 13312 images
209: 6.698593, 5.775103 avg, 0.000002 rate, 4.055379 seconds, 13376 images
210: 4.326741, 5.630267 avg, 0.000002 rate, 4.083967 seconds, 13440 images
211: 3.937933, 5.461034 avg, 0.000002 rate, 6.955553 seconds, 13504 images
212: 3.831375, 5.298068 avg, 0.000002 rate, 7.080993 seconds, 13568 images
213: 4.724852, 5.240746 avg, 0.000002 rate, 7.019251 seconds, 13632 images
214: 5.361669, 5.252839 avg, 0.000002 rate, 7.032626 seconds, 13696 images
215: 4.168033, 5.144358 avg, 0.000002 rate, 7.099041 seconds, 13760 images
216: 4.551904, 5.085113 avg, 0.000002 rate, 7.006208 seconds, 13824 images
217: 4.373365, 5.013938 avg, 0.000002 rate, 7.044534 seconds, 13888 images
218: 4.383143, 4.950859 avg, 0.000002 rate, 7.078166 seconds, 13952 images
219: 5.020905, 4.957863 avg, 0.000002 rate, 7.103104 seconds, 14016 images
220: 3.679088, 4.829986 avg, 0.000002 rate, 6.990822 seconds, 14080 images
221: 3.265647, 4.673552 avg, 0.000002 rate, 3.905787 seconds, 14144 images
222: 4.528018, 4.658998 avg, 0.000002 rate, 4.026184 seconds, 14208 images
223: 4.035247, 4.596623 avg, 0.000002 rate, 4.055789 seconds, 14272 images
224: 5.272299, 4.664191 avg, 0.000003 rate, 4.085906 seconds, 14336 images
225: 4.168424, 4.614614 avg, 0.000003 rate, 4.003330 seconds, 14400 images
226: 3.528544, 4.506007 avg, 0.000003 rate, 4.089006 seconds, 14464 images
227: 4.712668, 4.526673 avg, 0.000003 rate, 4.074231 seconds, 14528 images
228: 2.776670, 4.351673 avg, 0.000003 rate, 4.040698 seconds, 14592 images
229: 2.797368, 4.196243 avg, 0.000003 rate, 4.037439 seconds, 14656 images
230: 2.210040, 3.997622 avg, 0.000003 rate, 4.071246 seconds, 14720 images
231: 2.683623, 3.866223 avg, 0.000003 rate, 3.497609 seconds, 14784 images
232: 2.828465, 3.762447 avg, 0.000003 rate, 3.531192 seconds, 14848 images
233: 2.676816, 3.653884 avg, 0.000003 rate, 3.595879 seconds, 14912 images
234: 4.384400, 3.726935 avg, 0.000003 rate, 3.582434 seconds, 14976 images
235: 3.372145, 3.691456 avg, 0.000003 rate, 3.589574 seconds, 15040 images
236: 2.961579, 3.618469 avg, 0.000003 rate, 3.547956 seconds, 15104 images
237: 2.038593, 3.460481 avg, 0.000003 rate, 3.521099 seconds, 15168 images
238: 2.976593, 3.412092 avg, 0.000003 rate, 3.562851 seconds, 15232 images
239: 3.492772, 3.420160 avg, 0.000003 rate, 3.524967 seconds, 15296 images
240: 2.925795, 3.370723 avg, 0.000003 rate, 3.564476 seconds, 15360 images
241: 2.624151, 3.296066 avg, 0.000003 rate, 3.475662 seconds, 15424 images
242: 3.609947, 3.327454 avg, 0.000003 rate, 3.507059 seconds, 15488 images
243: 3.577704, 3.352479 avg, 0.000003 rate, 3.576230 seconds, 15552 images
244: 3.694925, 3.386724 avg, 0.000004 rate, 3.533067 seconds, 15616 images
245: 2.341469, 3.282198 avg, 0.000004 rate, 3.544312 seconds, 15680 images
246: 4.090289, 3.363008 avg, 0.000004 rate, 3.513502 seconds, 15744 images
247: 3.112854, 3.337992 avg, 0.000004 rate, 3.629128 seconds, 15808 images
248: 2.583174, 3.262510 avg, 0.000004 rate, 3.570548 seconds, 15872 images
249: 2.916536, 3.227913 avg, 0.000004 rate, 3.543080 seconds, 15936 images
250: 2.839080, 3.189030 avg, 0.000004 rate, 3.577221 seconds, 16000 images
251: 2.940221, 3.164149 avg, 0.000004 rate, 5.138618 seconds, 16064 images
252: 1.892722, 3.037006 avg, 0.000004 rate, 5.385927 seconds, 16128 images
253: 3.328325, 3.066138 avg, 0.000004 rate, 5.348897 seconds, 16192 images
254: 2.818474, 3.041372 avg, 0.000004 rate, 5.339370 seconds, 16256 images
255: 2.209434, 2.958178 avg, 0.000004 rate, 5.337130 seconds, 16320 images
256: 2.791575, 2.941518 avg, 0.000004 rate, 5.321721 seconds, 16384 images
257: 3.108911, 2.958257 avg, 0.000004 rate, 5.335643 seconds, 16448 images
258: 3.175026, 2.979934 avg, 0.000004 rate, 5.303130 seconds, 16512 images
259: 2.093319, 2.891273 avg, 0.000004 rate, 5.333770 seconds, 16576 images
260: 2.936326, 2.895778 avg, 0.000005 rate, 5.293128 seconds, 16640 images
261: 2.053339, 2.811534 avg, 0.000005 rate, 6.336672 seconds, 16704 images
262: 1.516826, 2.682063 avg, 0.000005 rate, 6.490422 seconds, 16768 images
263: 2.725849, 2.686442 avg, 0.000005 rate, 6.483805 seconds, 16832 images
264: 3.204120, 2.738209 avg, 0.000005 rate, 6.510252 seconds, 16896 images
265: 3.171702, 2.781559 avg, 0.000005 rate, 6.606422 seconds, 16960 images
266: 2.463568, 2.749760 avg, 0.000005 rate, 6.543611 seconds, 17024 images
267: 2.903826, 2.765166 avg, 0.000005 rate, 6.531927 seconds, 17088 images
268: 2.638972, 2.752547 avg, 0.000005 rate, 6.518417 seconds, 17152 images
269: 2.949195, 2.772212 avg, 0.000005 rate, 6.640760 seconds, 17216 images
270: 2.575528, 2.752543 avg, 0.000005 rate, 6.527538 seconds, 17280 images
271: 2.224257, 2.699715 avg, 0.000005 rate, 10.458917 seconds, 17344 images
272: 2.529039, 2.682647 avg, 0.000005 rate, 10.556667 seconds, 17408 images
273: 2.669714, 2.681354 avg, 0.000006 rate, 10.640568 seconds, 17472 images
274: 3.216797, 2.734898 avg, 0.000006 rate, 10.675305 seconds, 17536 images
275: 2.689237, 2.730332 avg, 0.000006 rate, 10.550183 seconds, 17600 images
276: 2.724049, 2.729704 avg, 0.000006 rate, 10.561446 seconds, 17664 images
277: 2.091685, 2.665902 avg, 0.000006 rate, 10.465938 seconds, 17728 images
278: 1.639964, 2.563308 avg, 0.000006 rate, 10.544697 seconds, 17792 images
279: 3.019331, 2.608910 avg, 0.000006 rate, 10.713502 seconds, 17856 images
280: 2.476983, 2.595718 avg, 0.000006 rate, 10.607499 seconds, 17920 images
281: 1.623277, 2.498474 avg, 0.000006 rate, 8.811011 seconds, 17984 images
282: 2.036336, 2.452260 avg, 0.000006 rate, 8.996664 seconds, 18048 images
283: 1.959582, 2.402992 avg, 0.000006 rate, 8.995491 seconds, 18112 images
284: 2.004108, 2.363104 avg, 0.000007 rate, 8.968738 seconds, 18176 images
